anio,mes,dia,fecha_date,fecha,cant_conversaciones,cant_intencion_compra,cant_adquisicion,cant_compra
2020,202008,2020-08-19,2020-08-19 12:00:00,2020081912,7.0,2.0,2.0,0.0
2020,202008,2020-08-19,2020-08-19 13:00:00,2020081913,1.0,1.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 15:00:00,2020081915,1.0,1.0,1.0,0.0
2020,202008,2020-08-19,2020-08-19 16:00:00,2020081916,1.0,0.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 17:00:00,2020081917,0.0,2.0,1.0,0.0
2020,202008,2020-08-19,2020-08-19 18:00:00,2020081918,0.0,3.0,3.0,1.0
2020,202008,2020-08-19,2020-08-19 19:00:00,2020081919,0.0,1.0,1.0,0.0
2020,202008,2020-08-19,2020-08-19 20:00:00,2020081920,1.0,0.0,0.0,0.0
2020,202008,2020-08-19,2020-08-19 21:00:00,2020081921,2.0,1.0,1.0,0.0
2020,202008,2020-08-19,2020-08-19 22:00:00,2020081922,0.0,1.0,1.0,0.0
2020,202008,2020-08-20,2020-08-20 00:00:00,2020082000,1.0,0.0,0.0,0.0
2020,202008,2020-08-20,2020-08-20 01:00:00,2020082001,1.0,0.0,0.0,0.0
2020,202008,2020-08-20,2020-08-20 02:00:00,2020082002,0.0,1.0,1.0,0.0
2020,202008,2020-08-20,2020-08-20 03:00:00,2020082003,0.0,1.0,1.0,0.0
2020,202008,2020-08-20,2020-08-20 04:00:00,2020082004,0.0,1.0,1.0,0.0
2020,202008,2020-08-20,2020-08-20 07:00:00,2020082007,1.0,0.0,0.0,0.0
2020,202008,2020-08-20,2020-08-20 08:00:00,2020082008,2.0,0.0,0.0,0.0
2020,202008,2020-08-20,2020-08-20 09:00:00,2020082009,1.0,1.0,0.0,1.0
2020,202008,2020-08-20,2020-08-20 14:00:00,2020082014,2.0,0.0,0.0,0.0
2020,202008,2020-08-20,2020-08-20 15:00:00,2020082015,0.0,1.0,1.0,1.0
2020,202008,2020-08-20,2020-08-20 20:00:00,2020082020,1.0,1.0,1.0,0.0
2020,202008,2020-08-21,2020-08-21 00:00:00,2020082100,1.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 02:00:00,2020082102,0.0,1.0,1.0,0.0
2020,202008,2020-08-21,2020-08-21 06:00:00,2020082106,0.0,1.0,1.0,0.0
2020,202008,2020-08-21,2020-08-21 08:00:00,2020082108,3.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 09:00:00,2020082109,2.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 10:00:00,2020082110,1.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 11:00:00,2020082111,3.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 12:00:00,2020082112,3.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 13:00:00,2020082113,1.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 14:00:00,2020082114,0.0,1.0,1.0,0.0
2020,202008,2020-08-21,2020-08-21 15:00:00,2020082115,1.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 16:00:00,2020082116,1.0,1.0,1.0,0.0
2020,202008,2020-08-21,2020-08-21 17:00:00,2020082117,0.0,1.0,1.0,0.0
2020,202008,2020-08-21,2020-08-21 18:00:00,2020082118,0.0,2.0,1.0,1.0
2020,202008,2020-08-21,2020-08-21 19:00:00,2020082119,1.0,1.0,1.0,0.0
2020,202008,2020-08-21,2020-08-21 21:00:00,2020082121,1.0,0.0,0.0,0.0
2020,202008,2020-08-21,2020-08-21 22:00:00,2020082122,3.0,1.0,1.0,1.0
2020,202008,2020-08-21,2020-08-21 23:00:00,2020082123,1.0,0.0,0.0,0.0
2020,202008,2020-08-22,2020-08-22 03:00:00,2020082203,0.0,1.0,1.0,0.0
2020,202008,2020-08-22,2020-08-22 04:00:00,2020082204,0.0,3.0,3.0,0.0
2020,202008,2020-08-22,2020-08-22 05:00:00,2020082205,0.0,1.0,1.0,0.0
2020,202008,2020-08-22,2020-08-22 07:00:00,2020082207,1.0,0.0,0.0,0.0
2020,202008,2020-08-22,2020-08-22 08:00:00,2020082208,1.0,0.0,0.0,0.0
2020,202008,2020-08-22,2020-08-22 11:00:00,2020082211,1.0,0.0,0.0,0.0
2020,202008,2020-08-22,2020-08-22 12:00:00,2020082212,1.0,0.0,0.0,0.0
2020,202008,2020-08-22,2020-08-22 13:00:00,2020082213,0.0,1.0,1.0,0.0
2020,202008,2020-08-22,2020-08-22 14:00:00,2020082214,1.0,0.0,0.0,0.0
2020,202008,2020-08-22,2020-08-22 17:00:00,2020082217,1.0,1.0,1.0,0.0
2020,202008,2020-08-22,2020-08-22 18:00:00,2020082218,1.0,1.0,1.0,0.0
2020,202008,2020-08-22,2020-08-22 19:00:00,2020082219,1.0,0.0,0.0,0.0
2020,202008,2020-08-22,2020-08-22 20:00:00,2020082220,0.0,1.0,1.0,0.0
2020,202008,2020-08-22,2020-08-22 23:00:00,2020082223,0.0,1.0,1.0,0.0
2020,202008,2020-08-23,2020-08-23 00:00:00,2020082300,0.0,1.0,1.0,0.0
2020,202008,2020-08-23,2020-08-23 06:00:00,2020082306,2.0,0.0,0.0,0.0
2020,202008,2020-08-23,2020-08-23 09:00:00,2020082309,1.0,0.0,0.0,0.0
2020,202008,2020-08-23,2020-08-23 12:00:00,2020082312,0.0,1.0,1.0,0.0
